version,display_name,method,pooling,top_k,n_patients,n_boundary,boundary_ratio,confidence_min,confidence_mean,cluster_0,cluster_1,cluster_2
M1,M1 - fair Attention k=4,fair,attention,4,1067,0,0.0%,1.0000,1.0000,324,339,404
M2,M2 - fair Attention k=6,fair,attention,6,1067,5,0.5%,0.5000,0.9974,335,401,331
M3,M3 - fair Mean all,fair,mean,0,1067,1,0.1%,0.7000,0.9984,334,402,331
M4,M4 - old random Attention k=4,old_random,attention,4,1067,106,9.9%,0.5000,0.9579,353,348,366
M5,M5 - old random Mean mapp6,old_random,mean,6,1067,96,9.0%,0.5000,0.9227,357,355,355
