subset,cluster,n_patients,mean,std,median,Q25,Q75,min,max
all,Cluster 0,314,0.266,0.1182,0.2448,0.1771,0.3234,0.0782,0.8123
all,Cluster 1,333,0.3028,0.1497,0.2674,0.1998,0.3771,0.0464,1.1187
all,Cluster 2,342,0.2359,0.0958,0.2247,0.1671,0.2975,0.0358,0.6361
