subset,cluster,n_patients,mean,std,median,Q25,Q75,min,max
all,Cluster 0,343,0.302,0.1484,0.2647,0.2007,0.3756,0.0464,1.1187
all,Cluster 1,410,0.236,0.0963,0.2219,0.1674,0.2935,0.0358,0.6361
all,Cluster 2,342,0.264,0.1171,0.2445,0.1738,0.3212,0.0486,0.8123
