subset,cluster,n_patients,mean,std,median,Q25,Q75,min,max
stable,Cluster 0,335,0.2642,0.1174,0.2444,0.1742,0.321,0.0486,0.8123
stable,Cluster 1,348,0.3015,0.1476,0.2657,0.2028,0.373,0.0464,1.1187
stable,Cluster 2,413,0.2361,0.0966,0.2213,0.1672,0.2937,0.0358,0.6361
