subset,cluster,n_patients,mean,std,median,Q25,Q75,min,max
stable,Cluster 0,341,0.2638,0.1173,0.2434,0.1742,0.3205,0.0486,0.8123
stable,Cluster 1,410,0.2367,0.0968,0.2231,0.1674,0.2969,0.0358,0.6361
stable,Cluster 2,340,0.3027,0.1484,0.267,0.2028,0.3748,0.0464,1.1187
