版本,推荐角色,模型类别,是否主模型候选,是否通过稳定性门槛,是否全样本稳定,是否M1主设计模型,临床解释能力合格,保留比例,显著偏离项数量,平均异常比例,平均画像强度,Cluster画像数量标准差,模型复杂度topk,辅助综合评分,论文主模型排序分,模型解释
M1_Attn_topk4,论文主模型,新方法候选,True,True,True,True,True,1.0,32,0.4633,2.039,1.8856,4,0.5,180.05,M1_Attn_topk4 在 confidence≥0.8 条件下稳定样本保留比例达到 100.00%，为所有模型中最高；同时其显著偏离项数量、平均异常比例和平均画像强度与 M2/M3 接近，说明其在保持临床解释能力的同时，具有更优的分型稳定性。因此推荐作为论文主模型。
M3_Mean_topk0,稳健性对照模型,新方法候选,True,True,False,False,True,0.9991,32,0.4637,2.049,1.8856,0,0.5430520024898648,155.2625260012449,M3_Mean_topk0 达到主模型候选稳定性门槛，且具有较好的临床解释能力。但与 M1 相比，其全样本稳定性或模型主设计一致性略弱，因此更适合作为稳健性对照模型。
M2_Attn_topk6,稳健性对照模型,新方法候选,True,True,False,False,True,0.9953,32,0.4644,2.0475,1.8856,6,0.5389525272455991,154.9224762636228,M2_Attn_topk6 达到主模型候选稳定性门槛，且具有较好的临床解释能力。但与 M1 相比，其全样本稳定性或模型主设计一致性略弱，因此更适合作为稳健性对照模型。
M4_旧Attn_topk4,旧方法/稳定性不足对照模型,旧方法对照,False,False,False,False,True,0.9231,31,0.4645,2.0796,1.6997,4,0.39727814709138,24.22963907354569,M4_旧Attn_topk4 作为旧方法对照，confidence≥0.8 的稳定样本保留比例为 92.31%，低于 95% 主模型门槛。该模型可用于对照分析，但不建议作为论文主模型。
M5_旧Mean_topk6,旧方法/稳定性不足对照模型,旧方法对照,False,False,False,False,True,0.9044,31,0.4701,2.0923,1.6997,6,0.5,23.994,M5_旧Mean_topk6 作为旧方法对照，confidence≥0.8 的稳定样本保留比例为 90.44%，低于 95% 主模型门槛。该模型可用于对照分析，但不建议作为论文主模型。
