版本,Cluster,Cluster总样本数,Cluster男性样本数,Cluster女性样本数,指标,性别亚组,n,均值,中位数,参考下限,参考上限,参考中心,偏离方向,异常比例,p_raw,p_adj,显著性,显著,显著_bool,effect_score,出现Cluster数,版本总Cluster数,Cluster覆盖比例,是否共同异常,median_effect,directional_effect,clinical_severity,同指标最高严重度,同指标第二严重度,是否同指标最突出Cluster,差异化领先幅度,差异化分数,可用于差异化命名
M1_Attn_topk4,2,404,186,218,肛门括约肌长度(cm),M,186,3.17,3.3,3.4,5.9,4.65,低,0.538,6.529085353196138e-24,7.443157302643596e-22,***,True,True,2.1186451612903228,3,3,1.0,True,0.29032258064516137,-0.29032258064516137,0.8283225806451614,1.4644086021505376,1.1701182795698926,False,0.0,0.8424838709677421,False
M2_Attn_topk6,0,330,145,185,肛门括约肌长度(cm),M,145,2.61,2.4,3.4,5.9,4.65,低,0.697,6.310479477483004e-24,7.257051399105453e-22,***,True,True,2.664741935483871,3,3,1.0,True,0.48387096774193555,-0.48387096774193555,1.1808709677419356,1.4799139784946236,1.1808709677419356,False,0.0,1.3713064516129032,False
M2_Attn_topk6,0,330,145,185,肛门括约肌长度(cm),F,185,2.27,2.1,2.7,5.1,3.9,低,0.697,1.5360206430583884e-29,1.9046655973924017e-27,***,True,True,2.620076923076923,3,3,1.0,True,0.4615384615384615,-0.4615384615384615,1.1585384615384615,1.4353846153846153,1.1585384615384615,False,0.0,1.3378076923076923,False
M2_Attn_topk6,0,330,145,185,RAIR诱发最小容积(ml),ALL,330,17.5,10.0,0.0,30.0,30.0,低,0.058,1.7918486336844887e-38,2.3473217101266798e-36,***,True,True,2.3913333333333333,3,3,1.0,True,0.6666666666666666,-0.6666666666666666,0.7246666666666667,0.7336666666666667,0.7246666666666667,False,0.0,0.6869999999999999,False
M2_Attn_topk6,0,330,145,185,初始便意阈值(ml),ALL,329,67.86,60.0,57.0,196.0,126.5,低,0.258,8.15371876702424e-54,1.4758230968313876e-51,***,True,True,2.3093833992094863,3,3,1.0,True,0.525691699604743,-0.525691699604743,0.783691699604743,0.783691699604743,0.750691699604743,True,0.03300000000000003,1.608537549407115,True
M2_Attn_topk6,0,330,145,185,排便窘迫感阈值(ml),ALL,329,111.98,100.0,93.0,241.0,167.0,低,0.413,1.7689633592265203e-46,2.883410275539228e-44,***,True,True,2.215395209580838,3,3,1.0,True,0.40119760479041916,-0.40119760479041916,0.8141976047904191,0.9800778443113773,0.8751976047904191,False,0.0,0.8212964071856287,False
M2_Attn_topk6,0,330,145,185,肛门括约肌静息压(mmHg),M,145,59.38,58.3,59.0,115.0,87.0,低,0.538,2.2948727483265633e-22,2.4096163857428912e-20,***,True,True,2.1977701149425286,3,3,1.0,True,0.3298850574712644,-0.3298850574712644,0.8678850574712644,1.4314137931034483,0.8678850574712644,False,0.0,0.9018275862068966,False
M2_Attn_topk6,1,401,184,217,肛门括约肌长度(cm),F,217,2.52,2.3,2.7,5.1,3.9,低,0.594,8.721366336195274e-28,1.055285326679628e-25,***,True,True,2.4145128205128206,3,3,1.0,True,0.4102564102564103,-0.4102564102564103,1.0042564102564102,1.4353846153846153,1.1585384615384615,False,0.0,1.1063846153846155,False
M2_Attn_topk6,1,401,184,217,RAIR诱发最小容积(ml),ALL,401,18.15,10.0,0.0,30.0,30.0,低,0.067,2.7084422396382896e-42,4.062663359457435e-40,***,True,True,2.400333333333333,3,3,1.0,True,0.6666666666666666,-0.6666666666666666,0.7336666666666667,0.7336666666666667,0.7246666666666667,True,0.009000000000000008,1.5095,True
M2_Attn_topk6,1,401,184,217,排便窘迫感阈值(ml),ALL,399,111.68,100.0,93.0,241.0,167.0,低,0.474,2.899293717015158e-54,5.305707502137739e-52,***,True,True,2.2763952095808384,3,3,1.0,True,0.40119760479041916,-0.40119760479041916,0.8751976047904191,0.9800778443113773,0.8751976047904191,False,0.0,0.9127964071856286,False
