版本,总样本数,confidence>=0.8样本数,保留比例,男性样本数,女性样本数,性别缺失或无法识别,Cluster数
M1_Attn_topk4,1067,1067,1.0,416,650,1,3
M2_Attn_topk6,1067,1062,0.9953,414,647,1,3
M3_Mean_topk0,1067,1066,0.9991,415,650,1,3
M4_旧Attn_topk4,1067,985,0.9231,380,604,1,3
M5_旧Mean_topk6,1067,965,0.9044,370,594,1,3
