版本,模型类别,模型复杂度topk,显著偏离项数量,平均异常比例,平均画像强度,Cluster画像数量标准差,总样本数,confidence>=0.8样本数,保留比例,稳定性得分,显著项得分,异常比例得分,画像强度得分,画像均衡得分,辅助综合评分,是否通过稳定性门槛,是否新方法候选,是否主模型候选,临床画像强度接近最优,显著偏离项接近最优,临床解释能力合格,是否全样本稳定,是否M1主设计模型,论文主模型排序分,推荐角色,模型解释
M1_Attn_topk4,新方法候选,4,32,0.4633,2.039,1.8856,1067,1067,1.0,1.0,1.0,0.0,0.0,0.0,0.5,True,True,True,True,True,True,True,True,180.05,论文主模型,M1_Attn_topk4 在 confidence≥0.8 条件下稳定样本保留比例达到 100.00%，为所有模型中最高；同时其显著偏离项数量、平均异常比例和平均画像强度与 M2/M3 接近，说明其在保持临床解释能力的同时，具有更优的分型稳定性。因此推荐作为论文主模型。
M3_Mean_topk0,新方法候选,0,32,0.4637,2.049,1.8856,1067,1066,0.9991,0.9905857740585773,1.0,0.05882352941176615,0.18761726078798963,0.0,0.5430520024898648,True,True,True,True,True,True,False,False,155.2625260012449,稳健性对照模型,M3_Mean_topk0 达到主模型候选稳定性门槛，且具有较好的临床解释能力。但与 M1 相比，其全样本稳定性或模型主设计一致性略弱，因此更适合作为稳健性对照模型。
M2_Attn_topk6,新方法候选,6,32,0.4644,2.0475,1.8856,1067,1062,0.9953,0.9508368200836816,1.0,0.16176470588235078,0.15947467166978951,0.0,0.5389525272455991,True,True,True,True,True,True,False,False,154.9224762636228,稳健性对照模型,M2_Attn_topk6 达到主模型候选稳定性门槛，且具有较好的临床解释能力。但与 M1 相比，其全样本稳定性或模型主设计一致性略弱，因此更适合作为稳健性对照模型。
M4_旧Attn_topk4,旧方法对照,4,31,0.4645,2.0796,1.6997,1067,985,0.9231,0.19560669456066995,0.0,0.17647058823529843,0.7617260787992535,1.0,0.39727814709138,False,False,False,True,True,True,False,False,24.22963907354569,旧方法/稳定性不足对照模型,M4_旧Attn_topk4 作为旧方法对照，confidence≥0.8 的稳定样本保留比例为 92.31%，低于 95% 主模型门槛。该模型可用于对照分析，但不建议作为论文主模型。
M5_旧Mean_topk6,旧方法对照,6,31,0.4701,2.0923,1.6997,1067,965,0.9044,0.0,0.0,1.0,1.0,1.0,0.5,False,False,False,True,True,True,False,False,23.994,旧方法/稳定性不足对照模型,M5_旧Mean_topk6 作为旧方法对照，confidence≥0.8 的稳定样本保留比例为 90.44%，低于 95% 主模型门槛。该模型可用于对照分析，但不建议作为论文主模型。
