版本,Cluster,Cluster总样本数,Cluster男性样本数,Cluster女性样本数,指标,性别亚组,n,均值,中位数,参考下限,参考上限,参考中心,偏离方向,异常比例,p_raw,p_adj,显著性,显著
M1_Attn_topk4,2,404,186,218,排便时直肠压力(mmHg),ALL,404,51.13,47.35,45.0,inf,45.0,高,0.453,0.0001211847456843537,0.0038779118618993184,**,True
M1_Attn_topk4,2,404,186,218,RAIR诱发最小容积(ml),ALL,404,18.19,10.0,0.0,30.0,30.0,低,0.067,1.5936566048259155e-42,2.4064214732871324e-40,***,True
M1_Attn_topk4,2,404,186,218,初始感觉阈值(ml),ALL,400,32.88,30.0,0.0,30.0,30.0,等于参考中心,0.215,5.385086790178901e-07,3.0694994704019735e-05,***,True
M1_Attn_topk4,2,404,186,218,初始便意阈值(ml),ALL,403,65.73,60.0,57.0,196.0,126.5,低,0.226,4.297543702215217e-68,8.380210219319673e-66,***,True
M1_Attn_topk4,2,404,186,218,排便窘迫感阈值(ml),ALL,402,111.92,100.0,93.0,241.0,167.0,低,0.468,1.488265341773148e-54,2.7681735356980554e-52,***,True
M2_Attn_topk6,0,330,145,185,肛门括约肌静息压(mmHg),M,145,59.38,58.3,59.0,115.0,87.0,低,0.538,2.294872748326563e-22,2.409616385742891e-20,***,True
M2_Attn_topk6,0,330,145,185,肛门括约肌静息压(mmHg),F,185,57.85,55.2,47.0,101.0,74.0,低,0.346,4.7434335165742314e-18,4.50626184074552e-16,***,True
M2_Attn_topk6,0,330,145,185,最大缩榨压MSP（mmHg）,M,145,128.02,118.0,91.0,170.0,130.5,低,0.407,0.052953776986384545,0.58249154685023,ns,False
M2_Attn_topk6,0,330,145,185,最大缩榨压MSP（mmHg）,F,185,94.98,92.9,61.0,140.0,100.5,低,0.243,0.0027546959750835006,0.055093919501670016,ns,False
M2_Attn_topk6,0,330,145,185,最大容量感觉阈值(ml),ALL,324,163.66,157.5,155.0,309.0,232.0,低,0.5,1.6128479607460911e-44,2.548299777978824e-42,***,True
M2_Attn_topk6,0,330,145,185,肛门括约肌长度(cm),M,145,2.61,2.4,3.4,5.9,4.65,低,0.697,6.310479477483003e-24,7.257051399105453e-22,***,True
M2_Attn_topk6,0,330,145,185,肛门括约肌长度(cm),F,185,2.27,2.1,2.7,5.1,3.9,低,0.697,1.5360206430583884e-29,1.9046655973924017e-27,***,True
M2_Attn_topk6,0,330,145,185,缩肛持续时间(s),ALL,330,12.88,13.3,12.2,14.4,13.3,等于参考中心,0.503,0.00845238347382012,0.1352381355811219,ns,False
M2_Attn_topk6,0,330,145,185,排便时直肠压力(mmHg),ALL,330,46.11,41.55,45.0,inf,45.0,低,0.548,0.2541210585401541,1.0,ns,False
M2_Attn_topk6,0,330,145,185,RAIR诱发最小容积(ml),ALL,330,17.5,10.0,0.0,30.0,30.0,低,0.058,1.7918486336844887e-38,2.34732171012668e-36,***,True
M2_Attn_topk6,0,330,145,185,初始感觉阈值(ml),ALL,326,35.77,30.0,0.0,30.0,30.0,等于参考中心,0.328,1.411699835667613e-09,9.599558882539768e-08,***,True
M2_Attn_topk6,0,330,145,185,初始便意阈值(ml),ALL,329,67.86,60.0,57.0,196.0,126.5,低,0.258,8.153718767024241e-54,1.4758230968313876e-51,***,True
M2_Attn_topk6,0,330,145,185,排便窘迫感阈值(ml),ALL,329,111.98,100.0,93.0,241.0,167.0,低,0.413,1.7689633592265203e-46,2.883410275539228e-44,***,True
M2_Attn_topk6,1,401,184,217,肛门括约肌静息压(mmHg),M,184,72.47,72.8,59.0,115.0,87.0,低,0.283,8.954535397330788e-15,7.074082963891322e-13,***,True
M2_Attn_topk6,1,401,184,217,肛门括约肌静息压(mmHg),F,217,69.33,68.5,47.0,101.0,74.0,低,0.18,0.0001782642383333697,0.005338487704846685,**,True
M2_Attn_topk6,1,401,184,217,最大缩榨压MSP（mmHg）,M,184,145.23,138.95,91.0,170.0,130.5,高,0.359,0.0018153744419574429,0.045384361048936075,*,True
M2_Attn_topk6,1,401,184,217,最大缩榨压MSP（mmHg）,F,217,112.32,107.6,61.0,140.0,100.5,高,0.207,9.949025896663714e-06,0.0003780629840732211,***,True
M2_Attn_topk6,1,401,184,217,最大容量感觉阈值(ml),ALL,399,165.64,160.0,155.0,309.0,232.0,低,0.514,5.990088115812178e-50,1.0302951559196946e-47,***,True
M2_Attn_topk6,1,401,184,217,肛门括约肌长度(cm),M,184,3.17,3.3,3.4,5.9,4.65,低,0.538,1.422344255323235e-23,1.5788021234087907e-21,***,True
M2_Attn_topk6,1,401,184,217,肛门括约肌长度(cm),F,217,2.52,2.3,2.7,5.1,3.9,低,0.594,8.721366336195274e-28,1.055285326679628e-25,***,True
M2_Attn_topk6,1,401,184,217,缩肛持续时间(s),ALL,401,12.59,13.1,12.2,14.4,13.3,低,0.551,3.7701780989185816e-07,2.2244050783619632e-05,***,True
M2_Attn_topk6,1,401,184,217,排便时直肠压力(mmHg),ALL,401,51.32,47.4,45.0,inf,45.0,高,0.454,8.508431235272732e-05,0.0028077823076400016,**,True
M2_Attn_topk6,1,401,184,217,RAIR诱发最小容积(ml),ALL,401,18.15,10.0,0.0,30.0,30.0,低,0.067,2.70844223963829e-42,4.062663359457435e-40,***,True
M2_Attn_topk6,1,401,184,217,初始感觉阈值(ml),ALL,397,32.85,30.0,0.0,30.0,30.0,等于参考中心,0.212,6.094892867137895e-07,3.2642950966783235e-05,***,True
M2_Attn_topk6,1,401,184,217,初始便意阈值(ml),ALL,400,65.75,60.0,57.0,196.0,126.5,低,0.225,1.316285549738018e-67,2.5404311109943745e-65,***,True
M2_Attn_topk6,1,401,184,217,排便窘迫感阈值(ml),ALL,399,111.68,100.0,93.0,241.0,167.0,低,0.474,2.899293717015158e-54,5.305707502137739e-52,***,True
M2_Attn_topk6,2,331,85,245,肛门括约肌静息压(mmHg),M,85,37.25,37.2,59.0,115.0,87.0,低,0.859,1.16873022717613e-15,1.0284825999149943e-13,***,True
M2_Attn_topk6,2,331,85,245,肛门括约肌静息压(mmHg),F,245,37.07,35.4,47.0,101.0,74.0,低,0.706,3.906251836058024e-41,5.390627533760073e-39,***,True
M2_Attn_topk6,2,331,85,245,最大缩榨压MSP（mmHg）,M,85,92.19,85.5,91.0,170.0,130.5,低,0.635,2.5266421683736818e-08,1.5917845660754195e-06,***,True
M2_Attn_topk6,2,331,85,245,最大缩榨压MSP（mmHg）,F,245,74.4,70.6,61.0,140.0,100.5,低,0.42,6.828415417558809e-22,6.964983725909985e-20,***,True
M2_Attn_topk6,2,331,85,245,最大容量感觉阈值(ml),ALL,324,152.04,150.0,155.0,309.0,232.0,低,0.586,4.181229343001649e-50,7.233526763392852e-48,***,True
M2_Attn_topk6,2,331,85,245,肛门括约肌长度(cm),M,85,2.03,1.6,3.4,5.9,4.65,低,0.824,2.1154305987886023e-15,1.776961702982426e-13,***,True
M2_Attn_topk6,2,331,85,245,肛门括约肌长度(cm),F,245,1.8,1.5,2.7,5.1,3.9,低,0.82,6.457893332840593e-41,8.847313865991612e-39,***,True
M2_Attn_topk6,2,331,85,245,缩肛持续时间(s),ALL,331,12.44,12.8,12.2,14.4,13.3,低,0.607,1.2028663050209823e-10,8.78092402665317e-09,***,True
M2_Attn_topk6,2,331,85,245,排便时直肠压力(mmHg),ALL,331,42.04,37.0,45.0,inf,45.0,低,0.665,1.7225899478048345e-06,8.096172754682723e-05,***,True
M2_Attn_topk6,2,331,85,245,RAIR诱发最小容积(ml),ALL,331,17.16,10.0,0.0,30.0,30.0,低,0.045,3.208707019747566e-42,4.748886389226398e-40,***,True
M2_Attn_topk6,2,331,85,245,初始感觉阈值(ml),ALL,322,33.35,30.0,0.0,30.0,30.0,等于参考中心,0.233,6.044990919774673e-07,3.2642950966783235e-05,***,True
M2_Attn_topk6,2,331,85,245,初始便意阈值(ml),ALL,323,64.46,60.0,57.0,196.0,126.5,低,0.223,2.5131774843468636e-55,4.724773670572103e-53,***,True
M2_Attn_topk6,2,331,85,245,排便窘迫感阈值(ml),ALL,324,104.59,90.0,93.0,241.0,167.0,低,0.519,7.507427818292204e-49,1.253740445654798e-46,***,True
M3_Mean_topk0,0,334,86,247,肛门括约肌静息压(mmHg),M,86,37.98,37.5,59.0,115.0,87.0,低,0.849,7.987270122300702e-16,7.108670408847626e-14,***,True
M3_Mean_topk0,0,334,86,247,肛门括约肌静息压(mmHg),F,247,37.15,35.4,47.0,101.0,74.0,低,0.709,3.003290596625697e-41,4.174573929309719e-39,***,True
M3_Mean_topk0,0,334,86,247,最大缩榨压MSP（mmHg）,M,86,92.95,86.75,91.0,170.0,130.5,低,0.628,3.1829071918826685e-08,1.9734024589672543e-06,***,True
M3_Mean_topk0,0,334,86,247,最大缩榨压MSP（mmHg）,F,247,74.41,70.6,61.0,140.0,100.5,低,0.421,3.928814211123637e-22,4.085966779568583e-20,***,True
M3_Mean_topk0,0,334,86,247,最大容量感觉阈值(ml),ALL,327,151.99,150.0,155.0,309.0,232.0,低,0.587,1.5645400006833057e-50,2.769235801209451e-48,***,True
M3_Mean_topk0,0,334,86,247,肛门括约肌长度(cm),M,86,2.07,1.7,3.4,5.9,4.65,低,0.814,1.478616929742692e-15,1.286396728876142e-13,***,True
M3_Mean_topk0,0,334,86,247,肛门括约肌长度(cm),F,247,1.79,1.5,2.7,5.1,3.9,低,0.822,2.8714534924701705e-41,4.0200348894582385e-39,***,True
M3_Mean_topk0,0,334,86,247,缩肛持续时间(s),ALL,334,12.44,12.8,12.2,14.4,13.3,低,0.605,1.0197583378140114e-10,7.546211699823685e-09,***,True
M3_Mean_topk0,0,334,86,247,排便时直肠压力(mmHg),ALL,334,42.12,37.25,45.0,inf,45.0,低,0.659,2.6888969887060857e-06,0.00012100036449177385,***,True
M3_Mean_topk0,0,334,86,247,RAIR诱发最小容积(ml),ALL,334,17.31,10.0,0.0,30.0,30.0,低,0.048,3.6004581526401735e-42,5.292673484381055e-40,***,True
M3_Mean_topk0,0,334,86,247,初始感觉阈值(ml),ALL,325,33.32,30.0,0.0,30.0,30.0,等于参考中心,0.231,6.044990919774673e-07,3.2642950966783235e-05,***,True
M3_Mean_topk0,0,334,86,247,初始便意阈值(ml),ALL,326,64.36,60.0,57.0,196.0,126.5,低,0.23,9.890323781188251e-56,1.8692711946445795e-53,***,True
M3_Mean_topk0,0,334,86,247,排便窘迫感阈值(ml),ALL,327,104.52,90.0,93.0,241.0,167.0,低,0.52,2.275997293320005e-49,3.8464354257108086e-47,***,True
M3_Mean_topk0,1,401,185,216,肛门括约肌静息压(mmHg),M,185,72.53,72.9,59.0,115.0,87.0,低,0.281,2.093670097134165e-14,1.6330626757646487e-12,***,True
M3_Mean_topk0,1,401,185,216,肛门括约肌静息压(mmHg),F,216,69.35,68.3,47.0,101.0,74.0,低,0.181,0.00017794959016155615,0.005338487704846685,**,True
M3_Mean_topk0,1,401,185,216,最大缩榨压MSP（mmHg）,M,185,145.42,138.8,91.0,170.0,130.5,高,0.362,0.001986927255636787,0.046492030626643664,*,True
M3_Mean_topk0,1,401,185,216,最大缩榨压MSP（mmHg）,F,216,112.56,107.7,61.0,140.0,100.5,高,0.218,8.824440164942964e-06,0.0003618020467626615,***,True
M3_Mean_topk0,1,401,185,216,最大容量感觉阈值(ml),ALL,399,165.24,150.0,155.0,309.0,232.0,低,0.519,3.3602911743070606e-50,5.846906643294285e-48,***,True
M3_Mean_topk0,1,401,185,216,肛门括约肌长度(cm),M,185,3.16,3.2,3.4,5.9,4.65,低,0.546,8.157992232503248e-24,9.21853122272867e-22,***,True
M3_Mean_topk0,1,401,185,216,肛门括约肌长度(cm),F,216,2.52,2.3,2.7,5.1,3.9,低,0.597,1.1890086709094246e-27,1.4268104050913095e-25,***,True
M3_Mean_topk0,1,401,185,216,缩肛持续时间(s),ALL,401,12.58,13.1,12.2,14.4,13.3,低,0.541,2.6835330443589566e-07,1.610119826615374e-05,***,True
M3_Mean_topk0,1,401,185,216,排便时直肠压力(mmHg),ALL,401,51.48,48.0,45.0,inf,45.0,高,0.446,4.368204083777755e-05,0.0015288714293222143,**,True
M3_Mean_topk0,1,401,185,216,RAIR诱发最小容积(ml),ALL,401,18.15,10.0,0.0,30.0,30.0,低,0.065,2.8459301619531928e-42,4.2404359413102574e-40,***,True
M3_Mean_topk0,1,401,185,216,初始感觉阈值(ml),ALL,397,32.85,30.0,0.0,30.0,30.0,等于参考中心,0.212,5.728787905446839e-07,3.169430967570199e-05,***,True
M3_Mean_topk0,1,401,185,216,初始便意阈值(ml),ALL,400,65.65,60.0,57.0,196.0,126.5,低,0.225,1.1123479100443072e-67,2.157954945485956e-65,***,True
M3_Mean_topk0,1,401,185,216,排便窘迫感阈值(ml),ALL,399,111.3,100.0,93.0,241.0,167.0,低,0.476,1.7326660771310092e-54,3.205432242692367e-52,***,True
M3_Mean_topk0,2,331,144,187,肛门括约肌静息压(mmHg),M,144,59.07,58.15,59.0,115.0,87.0,低,0.535,1.217783028409483e-22,1.290850010114052e-20,***,True
M3_Mean_topk0,2,331,144,187,肛门括约肌静息压(mmHg),F,187,58.35,55.5,47.0,101.0,74.0,低,0.332,6.7131228353962516e-18,6.243204236918514e-16,***,True
M3_Mean_topk0,2,331,144,187,最大缩榨压MSP（mmHg）,M,144,128.25,118.25,91.0,170.0,130.5,低,0.41,0.06194692610450971,0.6194692610450971,ns,False
M3_Mean_topk0,2,331,144,187,最大缩榨压MSP（mmHg）,F,187,95.64,93.4,61.0,140.0,100.5,低,0.235,0.006420690489336936,0.11039297156261861,ns,False
M3_Mean_topk0,2,331,144,187,最大容量感觉阈值(ml),ALL,325,163.68,160.0,155.0,309.0,232.0,低,0.498,1.3311994624509595e-44,2.1166071452970256e-42,***,True
M3_Mean_topk0,2,331,144,187,肛门括约肌长度(cm),M,144,2.59,2.4,3.4,5.9,4.65,低,0.701,9.06317376154183e-24,1.0150754612926849e-21,***,True
M3_Mean_topk0,2,331,144,187,肛门括约肌长度(cm),F,187,2.27,2.1,2.7,5.1,3.9,低,0.695,7.430112350943713e-30,9.287640438679642e-28,***,True
M3_Mean_topk0,2,331,144,187,缩肛持续时间(s),ALL,331,12.9,13.3,12.2,14.4,13.3,等于参考中心,0.508,0.014427316918694767,0.20198243686172673,ns,False
M3_Mean_topk0,2,331,144,187,排便时直肠压力(mmHg),ALL,331,46.01,41.5,45.0,inf,45.0,低,0.553,0.21727200396837698,1.0,ns,False
M3_Mean_topk0,2,331,144,187,RAIR诱发最小容积(ml),ALL,331,17.45,10.0,0.0,30.0,30.0,低,0.057,8.603907973819729e-39,1.1357158525442043e-36,***,True
M3_Mean_topk0,2,331,144,187,初始感觉阈值(ml),ALL,327,35.84,30.0,0.0,30.0,30.0,等于参考中心,0.333,1.0836423123723566e-09,7.477131955369261e-08,***,True
M3_Mean_topk0,2,331,144,187,初始便意阈值(ml),ALL,330,67.95,60.0,57.0,196.0,126.5,低,0.258,6.000436503679131e-54,1.0920794436696017e-51,***,True
