subset,cluster,n_patients,mean,std,median,Q25,Q75,min,max
all,Cluster 0,311,0.2628,0.1179,0.2414,0.1742,0.321,0.0782,0.8123
all,Cluster 1,337,0.3024,0.1486,0.2674,0.1998,0.374,0.0464,1.1187
all,Cluster 2,350,0.2353,0.0956,0.2253,0.167,0.296,0.0358,0.6361
